Alimento,Gramos
"Infant formula, Similac Advance, powder, made with bottled water",30.8
"Infant formula, Similac Advance, powder, made with baby water",30.8
"Infant formula, Similac Sensitive, ready-to-feed",30.8
"Infant formula, Similac Sensitive, powder, made with tap water",30.8
"Infant formula, Similac Sensitive, powder, made with bottled water",30.8
"Infant formula, Similac Sensitive, powder, made with baby water",30.8
"Infant formula, Similac for Spit-Up, ready-to-feed",30.8
"Infant formula, Similac for Spit-Up, powder, made with water",30.8
"Toddler formula, Similac Go and Grow",30.8
"Infant formula, Enfamil, NFS",30.8
"Infant formula, Enfamil Infant, ready-to-feed",30.8
"Infant formula, Enfamil Infant, powder, made with tap water",30.8
"Infant formula, Enfamil Infant, powder, made with bottled water",30.8
"Infant formula, Enfamil Infant, powder, made with baby water",30.8
"Infant formula, Enfamil AR, ready-to-feed",30.8
"Infant formula, Enfamil AR, powder, made with water",30.8
"Infant formula, Enfamil Gentlease, ready-to-feed",30.8
"Infant formula, Enfamil Gentlease, powder, made with tap water",30.8
"Infant formula, Enfamil Gentlease, powder, made with bottled water",30.8
"Infant formula, Enfamil Gentlease, powder, made with baby water",30.8
"Toddler formula, Enfamil Enfagrow",30.8
"Toddler formula, PediaSure",30.8
"Toddler formula, Nido Kinder",30.8
"Toddler formula, store brand, beginning or next stage",30.8
"Toddler formula, store brand, pediatric shake",30.8
"Infant formula, Gerber, NFS",30.8
"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",30.8
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",30.8
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",30.8
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",30.8
"Infant formula, Gerber Good Start Gentle, Stage 2",30.8
"Toddler formula, Gerber Good Start, Stage 3",30.8
"Infant formula, premature, powder, made with water",30.8
"Infant formula, premature, ready-to-feed",30.8
"Infant formula, organic, powder, made with water",30.8
"Infant formula, organic, ready-to-feed",30.8
"Infant formula, store brand, advantage or tender, powder, made with tap water",30.8
"Infant formula, store brand, advantage or tender, powder, made with bottled water",30.8
"Infant formula, store brand, advantage or tender, powder, made with baby water",30.8
"Infant formula, store brand, gentle or sensitivity",30.8
"Infant formula, store brand, added rice",30.8
"Infant formula, Enfamil ProSobee, ready-to-feed",30.8
"Infant formula, Enfamil ProSobee, powder, made with tap water",30.8
"Infant formula, Enfamil ProSobee, powder, made with bottled water",30.8
"Infant formula, Enfamil ProSobee, powder, made with baby water",30.8
"Infant formula, Similac Isomil Soy, ready-to-feed",30.8
"Infant formula, Similac Isomil Soy, powder, made with tap water",30.8
"Infant formula, Similac Isomil Soy, powder, made with bottled water",30.8
"Infant formula, Similac Isomil Soy, powder, made with baby water",30.8
"Infant formula, Similac for Diarrhea",30.8
"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",30.8
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",30.8
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",30.8
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",30.8
"Infant formula, store brand, soy",30.8
"Infant formula, Enfamil Nutramigen, ready-to-feed",30.8
"Infant formula, Enfamil Nutramigen, powder, made with water",30.8
"Infant formula, Enfamil Pregestimil, ready-to-feed",30.8
"Infant formula, Enfamil Pregestimil, powder, made with water",30.8
"Infant formula, amino acids",30.8
"Infant formula, low iron",30.8
"Milk, dry, not reconstituted",246.0
"Whey, sweet, dry",15.0
"Cocoa powder, not reconstituted",15.0
"Chocolate beverage powder, dry mix, not reconstituted",15.0
"Chocolate beverage powder, light, dry mix, not reconstituted",15.0
"Milk, malted, dry mix, not reconstituted",15.0
"Strawberry beverage powder, dry mix, not reconstituted",15.0
"Cream, NS as to light, heavy, or half and half",246.0
"Cream, light",246.0
"Cream, half and half",246.0
"Cream, half and half, flavored",246.0
"Cream, half and half, fat free",246.0
"Cream, heavy",246.0
"Cream, whipped",246.0
"Coffee creamer, NFS",246.0
"Coffee creamer, liquid",246.0
"Coffee creamer, liquid, flavored",246.0
"Coffee creamer, liquid, fat free",246.0
"Coffee creamer, liquid, fat free, flavored",246.0
"Coffee creamer, liquid, fat free, sugar free, flavored",246.0
"Coffee creamer, liquid, sugar free, flavored",246.0
"Coffee creamer, powder",246.0
"Coffee creamer, powder, flavored",246.0
"Coffee creamer, powder, fat free",246.0
"Coffee creamer,powder, sugar free, flavored",246.0
"Coffee creamer, soy, liquid",246.0
Whipped topping,246.0
"Whipped topping, fat free",246.0
"Whipped topping, sugar free",246.0
"Sour cream, regular",15.0
"Sour cream, light",15.0
"Sour cream, fat free",15.0
"Sour cream, imitation",15.0
"Dip, NFS",15.0
"Chipotle dip, regular",15.0
"Chipotle dip, light",15.0
"Onion dip, regular",15.0
"Onion dip, light",15.0
"Ranch dip, regular",15.0
"Ranch dip, light",15.0
"Spinach dip, regular",15.0
"Spinach dip, light",15.0
"Vegetable dip, regular",15.0
"Vegetable dip, light",15.0
"Ice cream, NFS",246.0
"Ice cream, vanilla",246.0
"Ice cream, vanilla, with additional ingredients",246.0
"Ice cream, chocolate",246.0
"Ice cream, chocolate, with additional ingredients",246.0
"Ice cream, soft serve, vanilla",246.0
"Ice cream, soft serve, chocolate",246.0
"Gelato, vanilla",246.0
"Gelato, chocolate",246.0
"Ice cream bar, vanilla",65.0
"Ice cream bar, vanilla, chocolate coated",65.0
Ice cream candy bar,65.0
"Ice cream bar, chocolate",65.0
"Ice cream sandwich, vanilla",75.0
"Ice cream sandwich, chocolate",75.0
Ice cream cookie sandwich,75.0
"Ice cream cone, scooped, vanilla",125.0
"Ice cream cone, scooped, vanilla, waffle cone",125.0
"Ice cream cone, NFS",125.0
"Ice cream cone, scooped, chocolate",125.0
"Ice cream cone, scooped, chocolate, waffle cone",125.0
"Ice cream cone, soft serve, vanilla",125.0
"Ice cream cone, soft serve, chocolate",125.0
"Ice cream cone, soft serve, vanilla, waffle cone",125.0
"Ice cream cone, soft serve, chocolate, waffle cone",125.0
"Ice cream cone, vanilla, prepackaged",125.0
"Ice cream cone, chocolate, prepackaged",125.0
"Ice cream soda, flavors other than chocolate",240.0
"Ice cream soda, chocolate",240.0
"Ice cream sundae, NFS",180.0
"Ice cream sundae, fruit topping",180.0
Banana split,490.0
"Ice cream sundae, hot fudge topping",180.0
"Ice cream sundae, caramel topping",180.0
"Ice cream, fried",246.0
"Light ice cream, NFS",246.0
"Light ice cream, vanilla",246.0
"Light ice cream, chocolate",246.0
"Soft serve, blended with candy or cookies, from fast food",246.0
"Light ice cream sandwich, vanilla",75.0
"Light ice cream sandwich, chocolate",75.0
"Light ice cream bar, vanilla",65.0
"Light ice cream bar, vanilla, chocolate coated",65.0
"Light ice cream bar, chocolate",65.0
Creamsicle,65.0
Fudgesicle,65.0
"Light ice cream cone, vanilla, prepackaged",125.0
"Light ice cream cone, chocolate, prepackaged",125.0
"Sherbet, all flavors",246.0
"Fudgesicle, light",65.0
"Pudding, chocolate, NFS",246.0
"Pudding, bread",246.0
"Pudding, flavors other than chocolate, NFS",246.0
Custard,246.0
Flan,246.0
Creme brulee,246.0
"Pudding, rice",246.0
"Firni, Indian pudding",246.0
"Pudding, tapioca, made from dry mix",246.0
"Pudding, flavors other than chocolate, made from dry mix",246.0
"Pudding, chocolate, made from dry mix",246.0
"Pudding, flavors other than chocolate, made from dry mix, sugar free",246.0
"Pudding, chocolate, made from dry mix, sugar free",246.0
"Pudding, flavors other than chocolate, ready-to-eat",246.0
"Pudding, flavors other than chocolate, ready-to-eat, sugar free",246.0
"Pudding, chocolate, ready-to-eat",246.0
"Pudding, chocolate, ready-to-eat, sugar free",246.0
"Pudding, tapioca, ready-to-eat",246.0
Banana pudding,246.0
Mousse,246.0
Dulce de leche,246.0
"Barfi or Burfi, Indian dessert",45.0
Trifle,246.0
Tiramisu,45.0
White sauce or gravy,246.0
"Cheese, NFS",9.0
"Cheese, Blue or Roquefort",9.0
"Cheese, Brick",9.0
