Alimento,Gramos
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",246.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",246.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",246.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",246.0
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",246.0
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",246.0
"Pot pie, chicken",30.0
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",246.0
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce",246.0
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",246.0
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",246.0
"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy",246.0
"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy",246.0
"Chicken fricassee, Puerto Rican style",219.0
Paella with seafood,246.0
Shrimp chow mein or chop suey with noodles,246.0
"Shrimp creole, with rice",246.0
"Tuna noodle casserole with vegetables, cream or white sauce",246.0
"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",246.0
"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",246.0
"Soup, bouillabaisse",246.0
Tuna noodle casserole with vegetables and mushroom sauce,246.0
"Codfish with starchy vegetables, Puerto Rican style",246.0
"Biscayne codfish, Puerto Rican style",246.0
"Stew, NFS",246.0
"Chow mein or chop suey, NS as to type of meat, with noodles",246.0
"Paella, NFS",246.0
"Chow mein or chop suey, various types of meat, with noodles",246.0
"Stewed tripe, with potatoes, Puerto Rican style",246.0
Gumbo with rice,246.0
Jambalaya with meat and rice,246.0
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",246.0
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",246.0
"Beef shish kabob with vegetables, excluding potatoes",202.0
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",246.0
Swiss steak,246.0
"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce",134.0
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",246.0
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",246.0
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",246.0
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",246.0
Beef and broccoli,246.0
"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",246.0
Szechuan beef,246.0
Hunan beef,246.0
"Beef chow mein or chop suey, no noodles",246.0
Kung Pao beef,246.0
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",246.0
"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",246.0
"Beef and vegetables, Hawaiian style",246.0
Pepper steak,246.0
"Beef, ground, with egg and onion",246.0
Beef salad,246.0
"Beef taco filling: beef, cheese, tomato, taco sauce",246.0
Stir fried beef and vegetables in soy sauce,246.0
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",246.0
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",246.0
"Beef steak with onions, Puerto Rican style",246.0
Cabbage with ham hocks,246.0
Ham or pork salad,246.0
Frankfurters or hot dogs and sauerkraut,120.0
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",246.0
Greens with ham or pork,246.0
"Pork, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-base sauce",246.0
"Pork and vegetables, Hawaiian style",246.0
Pork and watercress with soy-based sauce,246.0
Kung Pao pork,246.0
"Moo Shu pork, without Chinese pancake",246.0
Pork and onions with soy-based sauce,246.0
Pork hash,246.0
"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce",246.0
"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",246.0
"Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",246.0
"Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",246.0
"Pork chow mein or chop suey, no noodles",246.0
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",246.0
"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",246.0
"Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",246.0
"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",246.0
"Sausage and peppers, no sauce",246.0
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",246.0
"Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce",246.0
"Pork shish kabob with vegetables, excluding potatoes",202.0
"Lamb shish kabob with vegetables, excluding potatoes",202.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",246.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",246.0
"Chicken or turkey shish kabob with vegetables, excluding potatoes",202.0
"Chicken or turkey creole, without rice",246.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",246.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",246.0
"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",246.0
"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",246.0
Chicken or turkey divan,246.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",246.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",246.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",246.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",246.0
General Tso chicken,246.0
Moo Goo Gai Pan,246.0
Kung pao chicken,246.0
Almond chicken,246.0
"Chicken or turkey chow mein or chop suey, no noodles",246.0
"Chicken or turkey salad, made with mayonnaise",246.0
Chicken or turkey salad with nuts and/or fruits,246.0
Chicken or turkey salad with egg,246.0
"Chicken or turkey salad, made with light mayonnaise",246.0
"Chicken or turkey salad, made with mayonnaise-type salad dressing",246.0
"Chicken or turkey salad, made with light mayonnaise-type salad dressing",246.0
"Chicken or turkey salad, made with creamy dressing",246.0
"Chicken or turkey salad, made with light creamy dressing",246.0
"Chicken or turkey salad, made with Italian dressing",246.0
"Chicken or turkey salad, made with light Italian dressing",246.0
"Chicken or turkey salad, made with any type of fat free dressing",246.0
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",246.0
"Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing",246.0
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",246.0
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",246.0
"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",246.0
"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",246.0
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",246.0
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",246.0
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",246.0
"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",321.0
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce",246.0
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce",246.0
"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style",246.0
"Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style",246.0
Crab salad,246.0
Lobster salad,246.0
Salmon salad,246.0
"Shrimp chow mein or chop suey, no noodles",246.0
"Tuna salad, made with mayonnaise",246.0
"Tuna salad, made with light mayonnaise",246.0
"Tuna salad, made with mayonnaise-type salad dressing",246.0
"Tuna salad, made with light mayonnaise-type salad dressing",246.0
"Tuna salad, made with creamy dressing",246.0
"Tuna salad, made with light creamy dressing",246.0
"Tuna salad, made with Italian dressing",246.0
"Tuna salad, made with light Italian dressing",246.0
"Tuna salad, made with any type of fat free dressing",246.0
Shrimp salad,246.0
Seafood salad,246.0
Tuna salad with cheese,246.0
Tuna salad with egg,246.0
"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",246.0
"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",246.0
Crab salad made with imitation crab,246.0
"Fish, tofu, and vegetables, tempura",246.0
"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",246.0
"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",246.0
"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",246.0
"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",246.0
Oysters Rockefeller,15.0
Lomi salmon,246.0
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",246.0
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",246.0
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",246.0
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",246.0
"Shrimp shish kabob with vegetables, excluding potatoes",202.0
"Shrimp creole, no rice",246.0
Kung Pao shrimp,246.0
"Tuna casserole with vegetables and mushroom sauce, no noodles",246.0
"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",246.0
"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",246.0
"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",246.0
"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",246.0
"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",246.0
"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",246.0
"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",246.0
"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",246.0
"Fish shish kabob with vegetables, excluding potatoes",202.0
"Fried fish with sauce, Puerto Rican style",213.0
"Lobster with sauce, Puerto Rican style",246.0
"Octopus salad, Puerto Rican style",246.0
"Codfish salad, Puerto Rican style, Serenata",246.0
"Chow mein or chop suey, NS as to type of meat, no noodles",246.0
Lau lau,214.0
"Antipasto with ham, fish, cheese, vegetables",246.0
"Livers, chicken, chopped, with eggs and onion",246.0
"Liver, beef or calves, and onions",143.0
"Stewed chitterlings, Puerto Rican style",246.0
"Stewed gizzards, Puerto Rican style",246.0
"Gumbo, no rice",246.0
"Sandwich, NFS",160.0
"Sandwich wrap, NFS",140.0
"Barbecue sandwich, NFS",180.0
"Sloppy joe sandwich, on white bun",140.0
"Sloppy joe sandwich, on wheat bun",140.0
"Barbecue beef sandwich, on white bun",180.0
"Barbecue beef sandwich, on wheat bun",180.0
"Cheeseburger slider, from fast food",50.0
"Cheeseburger, NFS",165.0
"Cheeseburger, from fast food, 1 small patty",165.0
Cheeseburger (Burger King),165.0
Whopper Jr with cheese (Burger King),165.0
Cheeseburger (McDonalds),165.0
"Cheeseburger, from school cafeteria",165.0
Cheeseburger slider,50.0
"Cheeseburger, on white bun, 1 small patty",165.0
"Cheeseburger, on wheat bun, 1 small patty",165.0
"Cheeseburger, from fast food, 1 medium patty",165.0
Quarter Pounder (McDonalds),165.0
Whopper with cheese (Burger King),165.0
Quarter Pounder with cheese (McDonalds),165.0
"Cheeseburger, on white bun, 1 medium patty",165.0
"Cheeseburger, on wheat bun, 1 medium patty",165.0
"Cheeseburger, on white bun, 1 large patty",165.0
"Cheeseburger, on wheat bun, 1 large patty",165.0
"Double cheeseburger, on white bun, 2 small patties",205.0
"Double cheeseburger, on wheat bun, 2 small patties",205.0
"Double cheeseburger, on white bun, 2 medium patties",205.0
"Double cheeseburger, on wheat bun, 2 medium patties",205.0
"Cheeseburger, from fast food, 1 large patty",165.0
"Double cheeseburger, on white bun, 2 large patties",205.0
"Double cheeseburger, on wheat bun, 2 large patties",205.0
"Double cheeseburger, from fast food, 2 small patties",205.0
Double cheeseburger (Burger King),205.0
Double cheeseburger (McDonalds),205.0
McDouble (McDonalds),205.0
Big Mac (McDonalds),135.0
"Double cheeseburger, from fast food, 2 medium patties",205.0
"Double cheeseburger, from fast food, 2 large patties",205.0
"Hamburger slider, from fast food",50.0
"Hamburger, NFS",145.0
"Hamburger, from fast food, 1 small patty",145.0
Hamburger (Burger King),145.0
Whopper Jr (Burger King),145.0
Hamburger (McDonalds),145.0
"Hamburger, from school cafeteria",145.0
Hamburger slider,50.0
"Hamburger, on white bun, 1 small patty",145.0
"Hamburger, on wheat bun, 1 small patty",145.0
"Hamburger, from fast food, 1 medium patty",145.0
"Hamburger, from fast food, 1 large patty",145.0
Whopper (Burger King),145.0
"Hamburger, on white bun, 1 medium patty",145.0
"Hamburger, on wheat bun, 1 medium patty",145.0
"Hamburger, on white bun, 1 large patty",145.0
"Hamburger, on wheat bun, 1 large patty",145.0
"Double hamburger, on white bun, 2 small patties",180.0
"Double hamburger, on wheat bun, 2 small patties",180.0
"Double hamburger, on white bun, 2 medium patties",180.0
"Double hamburger, on wheat bun, 2 medium patties",180.0
"Double hamburger, on white bun, 2 large patties",180.0
"Double hamburger, on wheat bun, 2 large patties",180.0
"Double hamburger, from fast food, 2 small patties",180.0
"Double hamburger, from fast food, 2 medium patties",180.0
"Double hamburger, from fast food, 2 large patties",180.0
Meatball sandwich or sub,160.0
Meatloaf sandwich,140.0
"Chiliburger, with or without cheese, on bun",210.0
Corned beef sandwich on white,160.0
"Corned beef sandwich on white, with cheese",160.0
Corned beef sandwich on wheat,160.0
"Corned beef sandwich on wheat, with cheese",160.0
Reuben sandwich,140.0
Roast beef sandwich on white,160.0
"Roast beef sandwich on white, with cheese",160.0
Roast beef sandwich on wheat,160.0
"Roast beef sandwich on wheat, with cheese",160.0
French dip sandwich,140.0
Steak sandwich or sub on white,160.0
Steak sandwich or sub on wheat,160.0
Cheese steak sandwich or sub on white,160.0
Cheese steak sandwich or sub on wheat,160.0
Gyro sandwich,140.0
"Hamburger wrap sandwich, from fast food",140.0
Ham sandwich on white,160.0
"Ham sandwich on white, with cheese",160.0
Ham sandwich on wheat,160.0
"Ham sandwich on wheat, with cheese",160.0
"Ham sandwich or sub, restaurant",160.0
"Ham sandwich or sub, with cheese, restaurant",160.0
Ham sandwich wrap,140.0
Ham salad sandwich on white,140.0
Ham salad sandwich on wheat,140.0
Cuban sandwich,140.0
Barbecue rib sandwich,140.0
"Barbecue pork sandwich, on white bun",180.0
"Barbecue pork sandwich, on wheat bun",180.0
Pork sandwich,140.0
"Pork sandwich, with cheese",140.0
"Bacon, lettuce, tomato sandwich on white",140.0
"Bacon, lettuce, tomato sandwich on wheat",140.0
Turkey sandwich on white,160.0
"Turkey sandwich on white, with cheese",160.0
Turkey sandwich on wheat,160.0
"Turkey sandwich on wheat, with cheese",160.0
"Turkey sandwich or sub, restaurant",160.0
"Turkey sandwich or sub, with cheese, restaurant",160.0
Turkey sandwich wrap,140.0
"Chicken deli sandwich or sub, restaurant",160.0
"Chicken deli sandwich or sub, with cheese, restaurant",160.0
Chicken salad sandwich on white,160.0
Chicken salad sandwich on wheat,160.0
Chicken salad sandwich wrap,140.0
Club sandwich on white,140.0
"Club sandwich on white, with cheese",140.0
Club sandwich on wheat,140.0
"Club sandwich on wheat, with cheese",140.0
"Club sandwich or sub, restaurant",160.0
"Barbecue chicken sandwich, on white bun",180.0
"Barbecue chicken sandwich, on wheat bun",180.0
"Chicken fillet sandwich, NFS",140.0
"Chicken fillet sandwich, from school cafeteria",140.0
"Chicken fillet biscuit, from fast food",140.0
"Chicken fillet sandwich, fried, from fast food",180.0
"Chicken fillet sandwich, fried, from fast food, with cheese",180.0
"Chicken fillet sandwich, grilled, from fast food",180.0
"Chicken fillet sandwich, grilled, from fast food, with cheese",180.0
"Chicken fillet sandwich, NS as to fried or grilled, from fast food",180.0
"Chicken fillet sandwich, fried, on white bun",180.0
"Chicken fillet sandwich, fried, on white bun; with cheese",180.0
"Chicken fillet sandwich, fried, on wheat bun",180.0
"Chicken fillet sandwich, fried, on wheat bun, with cheese",180.0
"Chicken fillet sandwich, grilled, on white bun",180.0
"Chicken fillet sandwich, grilled, on white bun, with cheese",180.0
"Chicken fillet sandwich, grilled, on wheat bun",180.0
"Chicken fillet sandwich, grilled, on wheat bun, with cheese",180.0
"Chicken fillet wrap sandwich, fried, from fast food",140.0
"Chicken fillet wrap sandwich, grilled, from fast food",140.0
"Turkey or chicken burger, on white bun",75.0
"Turkey or chicken burger, on wheat bun",75.0
"Fish sandwich, fried, from fast food",180.0
"Fish sandwich, fried, from fast food, with cheese",180.0
Crab cake sandwich,180.0
Salmon cake sandwich,180.0
Fried seafood sandwich,180.0
"Fish sandwich, from school cafeteria",140.0
"Fish sandwich, NFS",140.0
"Fish sandwich, fried, on white bun",180.0
"Fish sandwich, fried, on white bun, with cheese",180.0
"Fish sandwich, fried, on wheat bun",180.0
"Fish sandwich, fried, on wheat bun, with cheese",180.0
"Fish sandwich, grilled",180.0
Fish wrap sandwich,140.0
Sardine sandwich,180.0
Tuna salad sandwich on white,160.0
"Tuna salad sandwich on white, with cheese",160.0
Tuna salad sandwich on wheat,160.0
"Tuna salad sandwich on wheat, with cheese",160.0
Tuna salad sandwich wrap,140.0
Seafood salad sandwich,180.0
Bologna sandwich on white,160.0
"Bologna sandwich on white, with cheese",160.0
Bologna sandwich on wheat,160.0
"Bologna sandwich on wheat, with cheese",160.0
Corn dog,160.0
Pig in a blanket,85.0
Salami sandwich on white,160.0
"Salami sandwich on white, with cheese",160.0
Salami sandwich on wheat,160.0
"Salami sandwich on wheat, with cheese",160.0
Italian sandwich on white,160.0
Italian sandwich on wheat,160.0
"Italian sandwich or sub, restaurant",160.0
Italian sausage sandwich on white,140.0
Italian sausage sandwich on wheat,140.0
Spam sandwich,140.0
"Hot dog sandwich, NFS, on white bun",75.0
"Hot dog sandwich, NFS, on wheat bun",75.0
"Hot dog sandwich, NFS, on white bread",70.0
"Hot dog sandwich, NFS, on wheat bread",70.0
"Hot dog sandwich, beef, on white bun",75.0
"Hot dog sandwich, beef, on wheat bun",75.0
"Hot dog sandwich, beef, on white bread",70.0
"Hot dog sandwich, beef, on wheat bread",70.0
"Hot dog sandwich, meat and poultry, on white bun",75.0
"Hot dog sandwich, meat and poultry, on wheat bun",75.0
"Hot dog sandwich, meat and poultry, on white bread",70.0
"Hot dog sandwich, meat and poultry, on wheat bread",70.0
"Hot dog sandwich, turkey, on white bun",75.0
"Hot dog sandwich, turkey, on wheat bun",75.0
"Hot dog sandwich, turkey, on white bread",70.0
"Hot dog sandwich, turkey, on wheat bread",70.0
"Hot dog sandwich, reduced fat, on white bun",75.0
"Hot dog sandwich, reduced fat, on wheat bun",75.0
"Hot dog sandwich, reduced fat, on white bread",70.0
"Hot dog sandwich, reduced fat, on wheat bread",70.0
"Hot dog sandwich, vegetarian, on bun",75.0
"Hot dog sandwich, vegetarian, on bread",70.0
"Chili hot dog sandwich, on white bun",75.0
"Chili hot dog sandwich, on wheat bun",75.0
"Chili hot dog sandwich, on white bread",70.0
"Chili hot dog sandwich, on wheat bread",70.0
Multiple meat sandwich on white,160.0
"Multiple meat sandwich on white, with cheese",160.0
Multiple meat sandwich on wheat,160.0
"Multiple meat sandwich on wheat, with cheese",160.0
"Multiple meat sandwich or sub, restaurant",160.0
"Multiple meat sandwich or sub, with cheese, restaurant",160.0
Multiple meat sandwich wrap,140.0
Turkey and ham sandwich on white,140.0
"Turkey and ham sandwich on white, with cheese",140.0
Turkey and ham sandwich on wheat,140.0
"Turkey and ham sandwich on wheat, with cheese",140.0
"Turkey and ham sandwich or sub, restaurant",160.0
"Turkey and ham sandwich or sub, with cheese, restaurant",160.0
"Frozen dinner, NFS",312.0
"Beef dinner, NFS, frozen meal",312.0
"Beef with vegetable, diet frozen meal",284.0
"Salisbury steak dinner, NFS, frozen meal",312.0
"Salisbury steak with gravy, potatoes, vegetable, frozen meal",312.0
"Salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal",312.0
"Salisbury steak with gravy, macaroni and cheese, frozen meal",284.0
"Beef, sliced, with gravy, potatoes, vegetable, frozen meal",244.0
"Meatballs, Swedish, in gravy, with noodles, diet frozen meal",258.0
"Beef with spaetzle or rice, vegetable, frozen meal",298.0
"Chicken dinner, NFS, frozen meal",312.0
"Chicken, fried, with potatoes, vegetable, frozen meal",312.0
"Chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal",244.0
"Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion",468.0
"Teriyaki chicken with rice and vegetable, diet frozen meal",312.0
"Chicken with rice and vegetable, diet frozen meal",241.0
"Chicken and vegetables au gratin with rice, diet frozen entree",258.0
"Chicken and vegetable entree with rice, diet frozen meal",255.0
"Chicken with noodles and cheese sauce, diet frozen meal",241.0
"Chicken and vegetable entree with noodles, diet frozen meal",244.0
"Chicken in soy-based sauce, rice and vegetables, frozen meal",255.0
"Chicken and vegetable entree with noodles and cream sauce, frozen meal",284.0
"Turkey with vegetable, stuffing, diet frozen meal",241.0
"Turkey with gravy, dressing, potatoes, vegetable, frozen meal",244.0
"Fish in lemon-butter sauce with starch item, vegetable, frozen meal",284.0
"Shrimp and vegetables in sauce with noodles, diet frozen meal",312.0
"Meat loaf dinner, NFS, frozen meal",312.0
"Meat loaf with potatoes, vegetable, frozen meal",244.0
"Soup, meatball",246.0
"Soup, pho, with meat",246.0
"Soup, pho, no meat",246.0
"Soup, pepperpot",246.0
"Soup, beef, canned",246.0
"Soup, sopa or caldo de res",246.0
"Soup, pozole",246.0
"Soup, Italian wedding",246.0
"Soup, pork or ham",246.0
"Soup, broth",246.0
"Soup, chicken, canned",246.0
"Soup, chicken",246.0
"Soup, sopa or caldo de pollo",246.0
"Soup, hot and sour",246.0
"Soup, cream of chicken",246.0
"Soup, Manhattan clam chowder",246.0
"Soup, New England clam chowder",246.0
"Soup, bisque",246.0
Lobster gumbo,246.0
Shrimp gumbo,246.0
"Soup, fish or shrimp",246.0
"Gravy, poultry",246.0
"Gravy, beef",246.0
"Gravy, beef, fat free",246.0
"Gravy, poultry, fat free",246.0
"Gravy, made with soy sauce",246.0
"Gravy, NFS",246.0
Oyster sauce,15.0
Mole sauce,15.0
"Egg, whole, raw",50.0
"Egg, whole, cooked, NS as to cooking method",50.0
"Egg, whole, boiled or poached",50.0
"Egg, whole, fried, NS as to fat",50.0
"Egg, whole, fried no added fat",50.0
"Egg, whole, fried with margarine",50.0
"Egg, whole, fried with oil",50.0
"Egg, whole, fried with butter",50.0
"Egg, whole, fried with animal fat or meat drippings",50.0
"Egg, whole, fried with cooking spray",50.0
"Egg, whole, fried, NS as to fat type",50.0
"Egg, whole, fried, from fast food / restaurant",50.0
"Egg, whole, baked, NS as to fat",50.0
"Egg, whole, baked, no added fat",50.0
"Egg, whole, baked, fat added",50.0
"Egg, whole, pickled",50.0
"Egg, white only, raw",33.0
"Egg, white, cooked, NS as to fat",33.0
"Egg, white, cooked, no added fat",33.0
"Egg, white, cooked, fat added",33.0
"Egg, yolk only, raw",50.0
"Egg, yolk only, cooked, NS as to fat",50.0
"Egg, yolk only, cooked, no added fat",50.0
"Egg, yolk only, cooked, fat added",50.0
"Duck egg, cooked",50.0
"Goose egg, cooked",50.0
"Quail egg, canned",50.0
"Egg, creamed",50.0
"Egg, Benedict",50.0
"Egg, deviled",50.0
"Egg salad, made with mayonnaise",68.0
"Egg salad, made with light mayonnaise",68.0
"Egg salad, made with mayonnaise-type salad dressing",68.0
"Egg salad, made with light mayonnaise-type salad dressing",68.0
"Egg salad, made with creamy dressing",68.0
"Egg salad, made with light creamy dressing",68.0
"Egg salad, made with Italian dressing",68.0
"Egg salad, made with light Italian dressing",68.0
"Egg Salad, made with any type of fat free dressing",68.0
Huevos rancheros,50.0
"Egg casserole with bread, cheese, milk and meat",246.0
"Egg foo yung, NFS",85.0
Chicken egg foo yung,85.0
Pork egg foo yung,85.0
Shrimp egg foo yung,246.0
Beef egg foo yung,85.0
"Egg omelet or scrambled egg, NS as to fat",50.0
"Egg omelet or scrambled egg, made with margarine",50.0
"Egg omelet or scrambled egg, made with oil",50.0
"Egg omelet or scrambled egg, made with butter",50.0
"Egg omelet or scrambled egg, made with animal fat or meat drippings",50.0
"Egg omelet or scrambled egg, made with cooking spray",50.0
"Egg omelet or scrambled egg, NS as to fat type",50.0
"Egg omelet or scrambled egg, no added fat",50.0
"Egg omelet or scrambled egg, from fast food / restaurant",50.0
"Egg omelet or scrambled egg, with cheese, made with margarine",50.0
"Egg omelet or scrambled egg, with cheese, made with oil",50.0
"Egg omelet or scrambled egg, with cheese, made with butter",50.0
"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings",50.0
"Egg omelet or scrambled egg, with cheese, made with cooking spray",50.0
"Egg omelet or scrambled egg, with cheese, no added fat",50.0
"Egg omelet or scrambled egg, with meat, NS as to fat",50.0
"Egg omelet or scrambled egg, with meat, made with margarine",50.0
"Egg omelet or scrambled egg, with meat, made with oil",50.0
"Egg omelet or scrambled egg, with meat, made with butter",50.0
"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",50.0
"Egg omelet or scrambled egg, with meat, made with cooking spray",50.0
"Egg omelet or scrambled egg, with meat, NS as to fat type",50.0
"Egg omelet or scrambled egg, with meat, no added fat",50.0
"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",50.0
"Egg omelet or scrambled egg, with cheese and meat, made with margarine",50.0
"Egg omelet or scrambled egg, with cheese and meat, made with oil",50.0
"Egg omelet or scrambled egg, with cheese and meat, made with butter",50.0
"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",50.0
"Egg omelet or scrambled egg, with cheese and meat, made with cooking spray",50.0
"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",50.0
