Alimento,Grupo,Porción,Gramos,precio100g,Precio,kcal_por_g,"Calcium, Ca",Retinol,Lycopene,MUFA 20:1,PUFA 20:5 n-3 (EPA),SFA 14:0,Total Sugars,"Carotene, beta",Total lipid (fat),Thiamin,"Vitamin B-12, added",PUFA 18:3,PUFA 18:2,"Phosphorus, P",Energy,Folic acid,Vitamin E (alpha-tocopherol),Vitamin B-6,Niacin,"Folate, DFE","Cryptoxanthin, beta","Fatty acids, total saturated",SFA 8:0,"Zinc, Zn","Magnesium, Mg","Folate, food",SFA 12:0,SFA 16:0,"Alcohol, ethyl","Fatty acids, total monounsaturated","Copper, Cu",PUFA 20:4,"Choline, total","Carbohydrate, by difference",Riboflavin,"Carotene, alpha",Vitamin K (phylloquinone),Cholesterol,Vitamin B-12,Caffeine,SFA 6:0,PUFA 22:6 n-3 (DHA),Protein,PUFA 18:4,"Fiber, total dietary",MUFA 16:1,"Fatty acids, total polyunsaturated",PUFA 22:5 n-3 (DPA),Lutein + zeaxanthin,Vitamin D (D2 + D3),"Potassium, K","Iron, Fe",SFA 10:0,Water,MUFA 22:1,"Selenium, Se","Vitamin A, RAE","Vitamin E, added","Folate, total","Sodium, Na","Vitamin C, total ascorbic acid",Theobromine,SFA 18:0,MUFA 18:1,SFA 4:0
"Turkey, drumstick, cooked, skin eaten",Pollo,"1 small drumstick (from hen, approx 11 to 13 lb bird) (yield after cooking, bone removed)",145.0,0.88,1.33,1.4206896551724137,32.0,0.0,0.0,0.03,0.0,0.069,0.0,0.0,9.74,0.06,0.0,0.109,2.251,197.0,206.0,0.0,0.62,0.327,3.531,9.0,0.0,3.035,0.0,4.23,23.0,9.0,0.01,1.755,0.0,2.846,0.153,0.238,70.2,0.0,0.239,0.0,0.0,84.0,0.36,0.0,0.0,0.05,27.64,0.0,0.0,0.456,2.697,0.03,0.0,0.1,278.0,2.28,0.0,60.68,0.02,37.5,0.0,0.0,9.0,399.0,0.0,0.0,0.813,2.321,0.0
"Turkey, drumstick, roasted, skin not eaten",Pollo,"1 small drumstick (from hen, approx 11 to 13 lb bird) (yield after cooking, bone and skin removed)",130.0,0.88,1.18,1.1076923076923078,12.0,4.0,0.0,0.014,0.007,0.032,0.0,0.0,3.38,0.042,0.0,0.038,0.766,221.0,144.0,0.0,0.06,0.675,9.992,9.0,0.0,0.997,0.0,2.27,29.0,9.0,0.01,0.641,0.0,1.105,0.084,0.058,98.6,0.0,0.247,0.0,0.0,88.0,1.8,0.0,0.0,0.004,28.52,0.0,0.0,0.1,0.906,0.006,0.0,0.3,240.0,0.82,0.005,66.97,0.0,30.4,4.0,0.0,9.0,455.0,0.0,0.0,0.289,0.982,0.0
"Turkey, drumstick, roasted, skin eaten",Pollo,"1 small drumstick (from hen, approx 11 to 13 lb bird) (yield after cooking, bone removed)",145.0,0.88,1.33,1.4,27.0,5.0,0.0,0.037,0.004,0.084,0.0,0.0,10.07,0.057,0.0,0.126,2.414,202.0,203.0,0.0,0.43,0.356,4.655,9.0,0.0,3.063,0.0,3.86,23.0,9.0,0.019,1.872,0.0,3.189,0.141,0.191,76.0,0.0,0.266,0.0,0.0,93.0,0.79,0.0,0.0,0.035,26.86,0.0,0.0,0.426,2.824,0.023,0.0,0.2,262.0,1.87,0.002,61.18,0.013,34.9,5.0,0.0,9.0,442.0,0.0,0.0,0.809,2.688,0.0
"Turkey, thigh, cooked, skin eaten",Pollo,"1 small thigh (from hen, approx 11 to 13 lb bird) (yield after cooking, bone removed)",225.0,0.88,2.02,0.8088888888888889,9.0,13.0,0.0,0.045,0.007,0.093,0.0,0.0,9.26,0.049,0.0,0.152,2.468,194.0,182.0,0.0,0.07,0.433,6.535,8.0,0.0,2.831,0.0,3.06,22.0,8.0,0.029,1.925,0.0,3.434,0.1,0.11,93.3,0.27,0.304,0.0,0.0,112.0,1.65,0.0,0.0,0.006,24.36,0.001,0.0,0.363,2.795,0.01,1.0,0.3,256.0,1.34,0.006,64.27,0.008,28.1,13.0,0.0,8.0,457.0,0.0,0.0,0.716,2.987,0.001
"Turkey, thigh, cooked, skin not eaten",Pollo,"1 small thigh (from hen, approx 11 to 13 lb bird) (yield after cooking, bone and skin removed)",205.0,0.88,1.82,0.7853658536585366,17.0,5.0,0.0,0.026,0.012,0.06,0.0,0.0,5.98,0.058,0.0,0.074,1.424,209.0,161.0,0.0,0.07,0.433,6.677,9.0,0.0,1.792,0.0,3.44,26.0,9.0,0.021,1.168,0.0,2.044,0.126,0.086,93.1,0.0,0.358,0.0,0.0,119.0,1.64,0.0,0.0,0.005,26.94,0.0,0.0,0.185,1.648,0.008,0.0,0.3,225.0,1.3,0.006,65.24,0.0,31.1,5.0,0.0,9.0,458.0,0.0,0.0,0.501,1.817,0.0
"Turkey, neck",Pollo,1 small neck (from 11 to 13 lb turkey),115.0,0.88,1.0,1.4,58.0,0.0,0.0,0.032,0.015,0.074,0.0,0.0,7.3,0.048,0.0,0.091,1.745,180.0,161.0,0.0,0.64,0.372,5.831,7.0,0.0,2.198,0.0,4.0,18.0,7.0,0.025,1.432,0.0,2.506,0.157,0.106,77.1,0.0,0.286,0.0,0.0,127.0,1.41,0.0,0.0,0.006,22.29,0.0,0.0,0.227,2.021,0.009,0.0,0.3,113.0,1.17,0.008,68.9,0.0,35.9,0.0,0.0,7.0,566.0,0.0,0.0,0.614,2.227,0.0
"Turkey, wing, cooked, skin not eaten",Pollo,"1 small wing (yield after cooking, bone and skin removed)",60.0,0.88,0.55,2.316666666666667,11.0,3.0,0.0,0.008,0.004,0.018,0.0,0.0,2.06,0.036,0.0,0.02,0.427,237.0,139.0,0.0,0.06,0.763,11.652,10.0,0.0,0.588,0.0,1.63,31.0,10.0,0.005,0.369,0.0,0.621,0.062,0.044,79.0,0.0,0.204,0.0,0.0,76.0,1.1,0.0,0.0,0.004,28.81,0.0,0.0,0.056,0.524,0.005,0.0,0.3,247.0,0.65,0.004,68.09,0.0,29.9,3.0,0.0,10.0,467.0,0.0,0.0,0.179,0.551,0.0
"Turkey, wing, cooked, skin eaten",Pollo,"1 small wing (yield after cooking, bone removed)",90.0,0.88,0.82,2.2444444444444445,21.0,3.0,0.0,0.015,0.002,0.077,0.0,0.0,9.97,0.045,0.0,0.131,2.084,215.0,202.0,0.0,0.13,0.498,7.581,7.0,0.0,2.739,0.0,1.88,26.0,7.0,0.012,1.808,0.0,3.691,0.058,0.124,68.6,0.0,0.159,0.0,0.0,79.0,0.79,0.0,0.0,0.021,26.87,0.0,0.0,0.579,2.441,0.015,0.0,0.2,258.0,1.16,0.002,61.61,0.007,29.5,3.0,0.0,7.0,442.0,0.0,0.0,0.619,3.026,0.0
"Turkey, tail",Pollo,"1 tail (yield after cooking, bone removed)",60.0,0.88,0.5,4.9,13.0,19.0,0.0,0.047,0.005,0.217,0.0,0.0,22.8,0.029,0.0,0.338,5.311,217.0,294.0,0.0,0.46,0.516,9.202,5.0,0.0,6.593,0.0,1.31,25.0,5.0,0.032,4.576,0.0,9.156,0.054,0.108,77.0,0.0,0.185,0.0,0.0,88.0,1.45,0.0,0.0,0.005,22.25,0.001,0.0,1.133,5.845,0.008,0.0,1.1,217.0,0.59,0.005,53.59,0.001,24.2,19.0,0.0,5.0,485.0,0.0,0.0,1.484,7.813,0.0
"Turkey, back",Pollo,"1 back (yield after cooking, bone removed)",525.0,0.88,4.4,0.38666666666666666,15.0,22.0,0.0,0.055,0.006,0.115,0.0,0.0,11.26,0.034,0.0,0.179,2.931,250.0,203.0,0.0,0.09,0.593,10.58,6.0,0.0,3.178,0.0,1.51,29.0,6.0,0.037,2.177,0.0,4.104,0.062,0.079,70.2,0.0,0.213,0.0,0.0,86.0,1.67,0.0,0.0,0.006,25.58,0.001,0.0,0.405,3.262,0.009,0.0,0.5,250.0,0.67,0.006,61.59,0.001,27.8,22.0,0.0,6.0,557.0,0.0,0.0,0.777,3.607,0.0
"Turkey, canned",Pollo,"1 cup, drained",135.0,0.88,1.17,1.3703703703703705,14.0,53.0,0.0,0.084,0.011,0.063,0.0,0.0,8.1,0.0,0.0,0.074,1.597,153.0,185.0,0.0,0.32,0.19,2.4,2.0,0.0,2.25,0.0,2.5,19.0,2.0,0.011,1.713,0.0,3.279,0.05,0.074,73.8,0.9,0.1,0.0,2.3,50.0,1.0,0.0,0.0,0.211,25.3,0.0,0.0,0.465,1.978,0.011,0.0,0.1,153.0,1.3,0.0,64.9,0.0,18.4,53.0,0.0,2.0,482.0,0.0,0.0,0.465,2.73,0.0
"Turkey, ground",Pollo,"1 cup, cooked",128.0,0.88,1.16,1.6484375,31.0,30.0,0.0,0.041,0.004,0.092,0.0,0.0,11.5,0.087,0.0,0.182,3.084,257.0,211.0,0.0,0.18,0.493,8.023,7.0,0.0,2.945,0.001,3.74,29.0,7.0,0.015,2.003,0.0,3.749,0.165,0.164,78.0,0.0,0.26,0.0,0.0,103.0,1.88,0.0,0.0,0.011,26.87,0.001,0.0,0.376,3.461,0.016,0.0,0.2,301.0,1.55,0.005,60.6,0.002,28.2,30.0,0.0,7.0,412.0,0.0,0.0,0.768,3.401,0.003
